pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"Kepler-562 b","Transit","Kepler",5.12000000,658.00,5815.00
"Kepler-351 b","Transit","Kepler",2.74000000,497.00,5646.00
"Kepler-1728 b","Transit","Kepler",2.50000000,886.00,5170.00
"Kepler-877 b","Transit","Kepler",2.30000000,615.00,5413.00
"Kepler-58 b","Transit","Kepler",3.10000000,920.00,6100.00
"Kepler-1491 b","Transit","Kepler",1.39000000,695.00,5880.00
"Kepler-400 b","Transit","Kepler",1.76000000,965.00,6062.00
"Kepler-271 d","Transit","Kepler",0.71000000,978.00,5516.00
"Kepler-1335 b","Transit","Kepler",1.61000000,809.00,5032.00
"TOI-5688 A b","Transit","Transiting Exoplanet Survey Satellite (TESS)",9.41494000,639.00,3588.00
"TOI-4734 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",10.91754720,1468.00,6070.00
"Kepler-460 c","Transit","Kepler",6.10000000,389.00,6340.00
"Kepler-705 b","Transit","Kepler",2.76000000,265.00,3674.00
"TOI-2095 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.44752461,300.66,3746.00
"TOI-1386 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",6.21638650,615.03,5735.00
"Kepler-257 c","Transit","Kepler",4.56000000,881.00,5188.00
"Kepler-1569 b","Transit","Kepler",1.25000000,1124.00,6185.00
"Kepler-787 b","Transit","Kepler",1.47000000,1405.00,4894.00
"Kepler-1136 b","Transit","Kepler",1.37000000,883.00,4485.00
"Kepler-1030 b","Transit","Kepler",2.52000000,534.00,5023.00
"Kepler-1609 b","Transit","Kepler",2.05000000,428.00,6257.00
"Kepler-1254 b","Transit","Kepler",1.54000000,679.00,5130.00
"Kepler-1771 b","Transit","Kepler",2.51000000,391.00,5661.00
"Kepler-1820 b","Transit","Kepler",2.70000000,561.00,5841.00
"Kepler-1397 b","Transit","Kepler",1.61000000,551.00,6007.00
"Kepler-161 b","Transit","Kepler",2.14000000,868.00,5076.00
"Kepler-1389 b","Transit","Kepler",1.77000000,318.00,5129.00
"Kepler-1563 b","Transit","Kepler",0.75000000,1134.00,5757.00
"Kepler-377 b","Transit","Kepler",1.16000000,835.00,6207.00
"HATS-71 b","Transit","HATSouth",10.32616195,525.94,3424.00
"Kepler-487 c","Transit","Kepler",2.62000000,504.00,5700.00
"Kepler-1032 b","Transit","Kepler",1.49000000,802.00,4484.00
"Kepler-323 c","Transit","Kepler",1.93000000,1493.00,6277.00
"Kepler-1352 b","Transit","Kepler",0.84000000,1757.00,6333.00
"Kepler-515 b","Transit","Kepler",1.75000000,671.00,5780.00
"Kepler-1178 b","Transit","Kepler",0.73000000,378.00,4729.00
"Kepler-325 c","Transit","Kepler",3.33000000,783.00,5749.00
"Kepler-1202 b","Transit","Kepler",2.40000000,546.00,5722.00
"Kepler-84 e","Transit","Kepler",2.30000000,636.00,6028.00
"Kepler-1407 b","Transit","Kepler",2.16000000,736.00,6086.00
"Kepler-1489 b","Transit","Kepler",1.67000000,408.00,6004.00
"Kepler-265 b","Transit","Kepler",1.67000000,1022.00,5839.00
"Kepler-370 c","Transit","Kepler",1.91000000,649.00,5845.00
"Kepler-343 b","Transit","Kepler",1.79000000,946.00,6122.00
"Kepler-281 c","Transit","Kepler",4.90000000,499.00,5675.00
"Kepler-393 b","Transit","Kepler",1.51000000,1228.00,6735.00
"Kepler-394 d","Transit","Kepler",1.50000000,1197.00,6426.00
"Kepler-237 b","Transit","Kepler",1.50000000,824.00,4861.00
"Kepler-1608 b","Transit","Kepler",1.63000000,612.00,5364.00
"HIP 41378 b","Transit","K2",2.59500000,959.00,6320.00
"Kepler-204 c","Transit","Kepler",1.78000000,683.00,5815.00
"Kepler-1164 b","Transit","Kepler",1.22000000,982.00,5211.00
"Kepler-666 b","Transit","Kepler",2.21000000,1133.00,6075.00
"KOI-351 g","Transit","Kepler",6.86000000,341.00,6238.00
"Kepler-79 e","Transit","Kepler",3.00000000,477.00,6405.00
"Kepler-173 b","Transit","Kepler",1.28000000,1179.00,6032.00
"CoRoT-5 b","Transit","CoRoT",18.38267405,1350.57,6100.00
"Kepler-117 b","Transit","Kepler",6.04000000,808.00,6466.00
"Kepler-256 b","Transit","Kepler",1.37000000,1545.00,5936.00
"Kepler-1882 b","Transit","Kepler",1.55000000,894.00,5691.00
"Kepler-1256 b","Transit","Kepler",1.50000000,933.00,5945.00
"Kepler-438 b","Transit","Kepler",0.97000000,288.00,3749.00
"Kepler-330 c","Transit","Kepler",2.21000000,570.00,5108.00
"Kepler-668 b","Transit","Kepler",2.52000000,790.00,5592.00
"Kepler-903 c","Transit","Kepler",2.75000000,462.00,5534.00
"Kepler-143 c","Transit","Kepler",2.36000000,644.00,6010.00
"Kepler-212 c","Transit","Kepler",2.06000000,615.00,5914.00
"Kepler-989 b","Transit","Kepler",2.56000000,805.00,5185.00
"Kepler-296 e","Transit","Kepler",1.08000000,244.00,3517.00
"Kepler-378 c","Transit","Kepler",1.80000000,668.00,4799.00
"Kepler-871 b","Transit","Kepler",3.14000000,640.00,5900.00
"Kepler-1424 b","Transit","Kepler",1.10000000,571.00,5905.00
"Kepler-107 b","Transit","Kepler",1.55000000,1460.00,5851.00
"Kepler-148 c","Transit","Kepler",3.55000000,962.00,5271.00
"Kepler-988 b","Transit","Kepler",1.93000000,368.00,3826.00
"CoRoT-23 b","Transit","CoRoT",11.77000000,1660.00,5900.00
"Kepler-1540 b","Transit","Kepler",2.30000000,238.00,4366.00
"Kepler-191 c","Transit","Kepler",2.11000000,578.00,5275.00
"Kepler-474 b","Transit","Kepler",3.80000000,1190.00,5716.00
"Kepler-226 d","Transit","Kepler",1.30000000,800.00,5185.00
"Kepler-947 b","Transit","Kepler",2.40000000,573.00,5754.00
"Kepler-1035 b","Transit","Kepler",1.00000000,1228.00,5709.00
"Kepler-1091 b","Transit","Kepler",1.09000000,1426.00,5672.00
"K2-104 b","Transit","K2",1.79000000,798.00,3712.00
"Kepler-387 c","Transit","Kepler",1.00000000,826.00,5772.00
"Kepler-215 d","Transit","Kepler",2.45000000,600.00,5741.00
"Kepler-1556 b","Transit","Kepler",2.06000000,900.00,5812.00
"Kepler-1192 b","Transit","Kepler",2.57000000,600.00,5831.00
"Kepler-795 b","Transit","Kepler",1.76000000,579.00,5616.00
"Kepler-74 b","Transit","Kepler",14.80000000,1250.00,6050.00
"Kepler-1461 b","Transit","Kepler",1.96000000,452.00,4986.00
"Kepler-1641 b","Transit","Kepler",3.92000000,908.00,6486.00
"Kepler-1502 b","Transit","Kepler",2.11000000,613.00,6446.00
"Kepler-202 c","Transit","Kepler",1.88000000,505.00,4671.00
"Kepler-391 b","Transit","Kepler",2.50000000,930.00,5038.00
"Kepler-1001 c","Transit","Kepler",1.90000000,802.00,5734.00
"Kepler-205 c","Transit","Kepler",1.58000000,389.00,4121.00
"Kepler-248 c","Transit","Kepler",4.22000000,591.00,5130.00
"Kepler-1924 b","Transit","Kepler",1.20000000,716.00,6028.00
"Kepler-270 c","Transit","Kepler",1.59000000,760.00,6419.00
"Kepler-1154 b","Transit","Kepler",1.67000000,1118.00,6163.00
"Kepler-913 b","Transit","Kepler",2.62000000,707.00,5412.00
"Kepler-1154 c","Transit","Kepler",1.67000000,950.00,6163.00
"Kepler-122 b","Transit","Kepler",1.92000000,1048.00,6102.00
"Kepler-1294 b","Transit","Kepler",3.02000000,375.00,6032.00
"Kepler-1137 b","Transit","Kepler",2.90000000,990.00,7115.00
"Kepler-153 b","Transit","Kepler",2.87000000,621.00,5402.00
"Kepler-222 d","Transit","Kepler",3.75000000,522.00,5431.00
"Kepler-443 b","Transit","Kepler",2.32000000,233.00,4721.00
"Kepler-361 c","Transit","Kepler",2.55000000,568.00,6321.00
"Kepler-188 b","Transit","Kepler",1.63000000,1463.00,5622.00
"Kepler-1437 b","Transit","Kepler",1.32000000,773.00,5796.00
"Kepler-379 c","Transit","Kepler",2.22000000,517.00,6255.00
"Kepler-342 e","Transit","Kepler",1.18000000,1897.00,6297.00
"Kepler-618 b","Transit","Kepler",2.31000000,1244.00,6086.00
"Kepler-832 b","Transit","Kepler",2.25000000,935.00,5973.00
"Kepler-730 b","Transit","Kepler",10.30000000,1073.00,6116.00
"Kepler-355 c","Transit","Kepler",2.82000000,634.00,5929.00
"Kepler-1179 b","Transit","Kepler",1.34000000,1137.00,5266.00
"Kepler-363 c","Transit","Kepler",2.35000000,1295.00,5759.00
"Kepler-256 c","Transit","Kepler",2.11000000,1315.00,5553.00
"Kepler-1736 b","Transit","Kepler",2.44000000,566.00,6085.00
"Kepler-822 b","Transit","Kepler",1.52000000,1240.00,5823.00
"Kepler-1093 c","Transit","Kepler",2.08000000,508.00,6429.00
"Kepler-1387 b","Transit","Kepler",0.87000000,1123.00,5017.00
"Kepler-1155 b","Transit","Kepler",2.60000000,615.00,5900.00
"Kepler-624 b","Transit","Kepler",2.45000000,852.00,6063.00
"Kepler-838 b","Transit","Kepler",2.77000000,777.00,6191.00
"Kepler-227 b","Transit","Kepler",2.50000000,867.00,5763.00
"Kepler-147 b","Transit","Kepler",1.29000000,899.00,6010.00
"Kepler-776 b","Transit","Kepler",1.38000000,904.00,5093.00
"Kepler-1057 b","Transit","Kepler",2.75000000,724.00,5853.00
"Kepler-297 c","Transit","Kepler",7.54000000,466.00,6150.00
"Kepler-342 b","Transit","Kepler",2.06000000,849.00,6464.00
"Kepler-1724 b","Transit","Kepler",2.45000000,999.00,6092.00
"Kepler-175 c","Transit","Kepler",3.22000000,583.00,6063.00
"Kepler-1508 b","Transit","Kepler",0.98000000,655.00,5746.00
"Kepler-1338 b","Transit","Kepler",0.92000000,2021.00,6002.00
"Kepler-267 d","Transit","Kepler",2.31000000,337.00,4081.00
"Kepler-633 c","Transit","Kepler",2.45000000,853.00,6282.00
"Kepler-545 b","Transit","Kepler",2.47000000,767.00,5936.00
"Kepler-1682 b","Transit","Kepler",2.54000000,694.00,5570.00
"Kepler-813 b","Transit","Kepler",4.23000000,817.00,5372.00
"Kepler-1800 b","Transit","Kepler",1.59000000,1301.00,5404.00
"Kepler-1166 b","Transit","Kepler",1.94000000,563.00,5605.00
"Kepler-1760 b","Transit","Kepler",1.83000000,473.00,5448.00
"Kepler-397 c","Transit","Kepler",6.01000000,295.00,5307.00
"Kepler-353 c","Transit","Kepler",1.80000000,472.00,3757.00
"Kepler-377 c","Transit","Kepler",1.58000000,626.00,6167.00
"Kepler-975 b","Transit","Kepler",3.97000000,1599.00,4883.00
"Kepler-610 c","Transit","Kepler",2.63000000,318.00,5713.00
"Kepler-1213 b","Transit","Kepler",1.29000000,1156.00,6074.00
"Kepler-1069 b","Transit","Kepler",2.02000000,693.00,5790.00
"Kepler-501 b","Transit","Kepler",4.59000000,1125.00,5794.00
"Kepler-1793 b","Transit","Kepler",2.91000000,714.00,5189.00
"KOI-3503 c","Transit","Kepler",1.21000000,686.00,6001.00
"Kepler-1578 b","Transit","Kepler",1.24000000,1699.00,6046.00
"Kepler-1669 d","Transit","Kepler",1.14000000,654.00,4265.00
"Kepler-1352 b","Transit","Kepler",0.81000000,1714.00,6324.00
"KOI-1599.02","Transit","Kepler",1.90000000,739.00,5760.00
"Kepler-1303 b","Transit","Kepler",1.25000000,891.00,5853.00
"Kepler-919 b","Transit","Kepler",1.93000000,869.00,6093.00
"Kepler-636 b","Transit","Kepler",3.58000000,518.00,4886.00
"Kepler-296 c","Transit","Kepler",1.38000000,446.00,3526.00
"Kepler-1150 b","Transit","Kepler",2.41000000,1432.00,4827.00
"Kepler-1747 b","Transit","Kepler",4.11000000,875.00,5477.00
"Kepler-656 b","Transit","Kepler",3.69000000,1570.00,5546.00
"Kepler-1161 b","Transit","Kepler",1.93000000,468.00,4083.00
"Kepler-1301 b","Transit","Kepler",1.35000000,734.00,5354.00
"Kepler-585 b","Transit","Kepler",2.54000000,1178.00,5461.00
"Kepler-1987 e","Transit","Kepler",1.58000000,608.00,4601.00
"Kepler-901 b","Transit","Kepler",1.21000000,645.00,3916.00
"Kepler-263 c","Transit","Kepler",2.18000000,386.00,4987.00
"Kepler-1197 b","Transit","Kepler",1.15000000,975.00,4555.00
"Kepler-1312 b","Transit","Kepler",1.80000000,923.00,5674.00
"Kepler-1965 b","Transit","Kepler",1.06000000,494.00,5864.00
"Kepler-1152 b","Transit","Kepler",1.07000000,879.00,4072.00
"Kepler-368 c","Transit","Kepler",1.42000000,376.00,5501.00
"Kepler-1381 b","Transit","Kepler",2.41000000,649.00,6137.00
"Kepler-369 b","Transit","Kepler",1.60000000,737.00,3737.00
"Kepler-357 d","Transit","Kepler",2.20000000,383.00,4978.00
"Kepler-1229 b","Transit","Kepler",1.66000000,228.00,4013.00
"Kepler-463 b","Transit","Kepler",4.95000000,1060.00,5613.00
"Kepler-149 d","Transit","Kepler",4.28000000,306.00,5376.00
"Kepler-759 b","Transit","Kepler",2.40000000,530.00,5900.00
"Kepler-415 c","Transit Timing Variations","Kepler",2.62000000,593.00,4523.00
"Kepler-634 b","Transit","Kepler",2.06000000,1309.00,6011.00
"Kepler-149 c","Transit","Kepler",2.66000000,567.00,5363.00
"Kepler-944 b","Transit","Kepler",2.42000000,459.00,5654.00
"Kepler-1316 b","Transit","Kepler",3.39000000,446.00,5837.00
"Kepler-1747 b","Transit","Kepler",3.70000000,875.00,5477.00
